airfoil_name,true_category,anchor_strength,shape_family,source_kind,coordinate_file,source_title,source_url,notes,point_count,x_min,x_max,max_thickness_ratio,trailing_edge_gap
double_wedge_tc04,Supersonic,strong,double_wedge,analytic,data/supersonic/double_wedge_tc04.csv,NACA TN 2982; NASA OpenVSP Cross-Sections,https://ntrs.nasa.gov/api/citations/19930083707/downloads/19930083707.pdf?attachment=true; https://www.nasa.gov/reference/openvsp-cross-sections/, generated from authoritative analytic definition; maximum thickness-to-chord ratio 0.04,301,0,1,0.04000000,0.00000000
double_wedge_tc06,Supersonic,strong,double_wedge,analytic,data/supersonic/double_wedge_tc06.csv,NACA TN 2982 Supersonic Flow Past Oscillating Airfoils,https://ntrs.nasa.gov/api/citations/19930083707/downloads/19930083707.pdf?attachment=true, generated from authoritative analytic definition; maximum thickness-to-chord ratio 0.06,301,0,1,0.06000000,0.00000000
double_wedge_tc08,Supersonic,strong,double_wedge,analytic,data/supersonic/double_wedge_tc08.csv,NACA TN 2982 Supersonic Flow Past Oscillating Airfoils,https://ntrs.nasa.gov/api/citations/19930083707/downloads/19930083707.pdf?attachment=true, generated from authoritative analytic definition; maximum thickness-to-chord ratio 0.08,301,0,1,0.08000000,0.00000000
biconvex_tc04,Supersonic,strong,biconvex,analytic,data/supersonic/biconvex_tc04.csv,NASA OpenVSP Cross-Sections,https://www.nasa.gov/reference/openvsp-cross-sections/, generated from authoritative analytic definition; maximum thickness-to-chord ratio 0.04,301,0,1,0.04000000,0.00000000
biconvex_tc06,Supersonic,strong,biconvex,analytic,data/supersonic/biconvex_tc06.csv,NACA TN 2982 Supersonic Flow Past Oscillating Airfoils,https://ntrs.nasa.gov/api/citations/19930083707/downloads/19930083707.pdf?attachment=true, generated from authoritative analytic definition; maximum thickness-to-chord ratio 0.06,301,0,1,0.06000000,0.00000000
biconvex_tc08,Supersonic,strong,biconvex,analytic,data/supersonic/biconvex_tc08.csv,NASA OpenVSP Cross-Sections,https://www.nasa.gov/reference/openvsp-cross-sections/, generated from authoritative analytic definition; maximum thickness-to-chord ratio 0.08,301,0,1,0.08000000,0.00000000
naca_rm_a53b02_304b,Supersonic,strong,naca_rm_a53b02_304b,digitized_table,data/supersonic/naca_rm_a53b02_304b.csv,NACA RM A53B02 Zero-Lift-Drag Characteristics of Symmetrical Blunt-Trailing-Edge Airfoils,https://ntrs.nasa.gov/api/citations/19930087797/downloads/19930087797.pdf, digitized from NACA RM A53B02 Table II; blunt trailing edge retained with implied vertical closure,301,0,1,0.03760000,0.02330000
naca_rm_a53b02_504b,Supersonic,strong,naca_rm_a53b02_504b,digitized_table,data/supersonic/naca_rm_a53b02_504b.csv,NACA RM A53B02 Zero-Lift-Drag Characteristics of Symmetrical Blunt-Trailing-Edge Airfoils,https://ntrs.nasa.gov/api/citations/19930087797/downloads/19930087797.pdf, digitized from NACA RM A53B02 Table II; blunt trailing edge retained with implied vertical closure,301,0,1,0.03740000,0.03360000
