name,geometry_group,coordinate_file,true_category,anchor_strength,source_title,source_url,notes,clustered_category,quality_status,original_mode_available,recomputed_mode_1,recomputed_mode_2,recomputed_mode_3,recomputed_mode_4,recomputed_mode_5,recomputed_mode_6,recomputed_mode_7,recomputed_mode_8,recomputed_mode_9,recomputed_mode_10,recomputed_mode_11,recomputed_mode_12,recomputed_mode_13,recomputed_mode_14,recomputed_mode_15,recomputed_mode_16,recomputed_mode_17,recomputed_mode_18,recomputed_mode_19
naca5517,original_dataset,data/d_PV_20_coord/naca5517.csv,,,,,,Low-subsonic,valid,True,-0.267969368282,-0.0131494990443,-0.0312186527752,-0.00574897220739,0.0186647207067,-0.0147476717872,-0.000565999785149,-0.00344832275697,-0.00155000909359,0.00215552896861,0.00015900386931,-0.000434998401832,-0.00071083693585,5.96602220706e-05,0.000649473285981,-0.000183775697903,-7.95437267215e-05,-2.61758412351e-05,-0.000217972206512
naca5518,original_dataset,data/d_PV_20_coord/naca5518.csv,,,,,,Low-subsonic,valid,True,-0.324220297644,0.0114351653218,-0.0281632202156,-0.00671321533453,0.0195120323457,-0.0143923376133,-0.000844742723855,-0.00369767832752,-0.00153805805867,0.00217336284641,8.36879067041e-05,-0.000456697504883,-0.000691796139894,8.33462787705e-05,0.000639124179386,-0.000182267989022,-7.91717253198e-05,-2.62801729825e-05,-0.00021912251085
naca5519,original_dataset,data/d_PV_20_coord/naca5519.csv,,,,,,Low-subsonic,valid,True,-0.380471227006,0.036019829688,-0.025107787656,-0.00767745846167,0.0203593439846,-0.0140370034394,-0.00112348566256,-0.00394703389808,-0.00152610702376,0.00219119672421,8.37194409859e-06,-0.000478396607932,-0.000672755343938,0.00010703233547,0.00062877507279,-0.000180760280142,-7.8799723918e-05,-2.63845047301e-05,-0.000220272815188
naca5520,original_dataset,data/d_PV_20_coord/naca5520.csv,,,,,,Low-subsonic,valid,True,-0.436722156368,0.0606044940542,-0.0220523550964,-0.00864170158882,0.0212066556236,-0.0136816692655,-0.00140222860127,-0.00419638946863,-0.00151415598885,0.00220903060201,-6.69440185069e-05,-0.000500095710981,-0.000653714547982,0.00013071839217,0.000618425966195,-0.000179252571261,-7.84277225164e-05,-2.64888364774e-05,-0.000221423119526
naca5521,original_dataset,data/d_PV_20_coord/naca5521.csv,,,,,,Low-subsonic,valid,True,-0.49297308573,0.0851891584204,-0.0189969225368,-0.00960594471596,0.0220539672626,-0.0133263350916,-0.00168097153997,-0.00444574503918,-0.00150220495393,0.0022268644798,-0.000142259981112,-0.000521794814031,-0.000634673752026,0.00015440444887,0.0006080768596,-0.00017774486238,-7.80557211148e-05,-2.65931682249e-05,-0.000222573423864
naca5522,original_dataset,data/d_PV_20_coord/naca5522.csv,,,,,,Low-subsonic,valid,True,-0.549224015092,0.109773822787,-0.0159414899771,-0.0105701878431,0.0229012789015,-0.0129710009177,-0.00195971447868,-0.00469510060973,-0.00149025391902,0.0022446983576,-0.000217575943718,-0.00054349391708,-0.00061563295607,0.000178090505569,0.000597727753004,-0.000176237153499,-7.76837197129e-05,-2.66974999724e-05,-0.000223723728203
naca5523,original_dataset,data/d_PV_20_coord/naca5523.csv,,,,,,Low-subsonic,valid,True,-0.605474944454,0.134358487153,-0.0128860574175,-0.0115344309702,0.0237485905405,-0.0126156667438,-0.00223845741738,-0.00494445618028,-0.0014783028841,0.0022625322354,-0.000292891906323,-0.00056519302013,-0.000596592160114,0.000201776562269,0.000587378646409,-0.000174729444619,-7.73117183112e-05,-2.68018317196e-05,-0.000224874032541
naca5524,original_dataset,data/d_PV_20_coord/naca5524.csv,,,,,,Low-subsonic,valid,True,-0.661725873817,0.158943151519,-0.00983062485791,-0.0124986740974,0.0245959021794,-0.0122603325699,-0.00251720035609,-0.00519381175083,-0.00146635184919,0.0022803661132,-0.000368207868929,-0.000586892123179,-0.000577551364157,0.000225462618969,0.000577029539814,-0.000173221735738,-7.69397169096e-05,-2.69061634672e-05,-0.000226024336879
naca5606,original_dataset,data/d_PV_20_coord/naca5606.csv,,,,,,Transonic,valid,True,0.353395008341,-0.270360064814,-0.118230431593,0.000777371904518,0.00437061864403,-0.00719089511861,0.00331446231239,-0.00221289432713,-0.00341500062397,-0.00218288842293,0.00069259130915,0.000679061600989,-0.0013470447507,-0.000543193687181,-2.22160523007e-06,0.000985431067686,0.000461473835962,0.000222603741671,0.000159505551997
naca5607,original_dataset,data/d_PV_20_coord/naca5607.csv,,,,,,Transonic,valid,True,0.297097541026,-0.24575736503,-0.115169063779,-0.000259851067691,0.00525624729936,-0.00681757049413,0.00298542374984,-0.00246877603738,-0.00337391768191,-0.00217745598864,0.000630184558549,0.000657420737226,-0.00132942598189,-0.00051978331983,-1.66145632911e-05,0.000985552970975,0.000458796129003,0.000223377554854,0.000158416129682
naca5608,original_dataset,data/d_PV_20_coord/naca5608.csv,,,,,,Transonic,valid,True,0.240800073712,-0.221154665247,-0.112107695966,-0.00129707403992,0.00614187595467,-0.00644424586965,0.00265638518728,-0.00272465774763,-0.00333283473987,-0.00217202355436,0.000567777807942,0.000635779873465,-0.00131180721307,-0.00049637295248,-3.10075213556e-05,0.000985674874262,0.000456118422046,0.000224151368035,0.00015732670736
naca5609,original_dataset,data/d_PV_20_coord/naca5609.csv,,,,,,Transonic,valid,True,0.184502606397,-0.196551965463,-0.109046328152,-0.00233429701211,0.00702750461002,-0.00607092124518,0.00232734662472,-0.00298053945788,-0.00329175179781,-0.00216659112006,0.000505371057348,0.0006141390097,-0.00129418844427,-0.000472962585127,-4.54004794131e-05,0.000985796777552,0.000453440715085,0.000224925181219,0.000156237285052
naca5610,original_dataset,data/d_PV_20_coord/naca5610.csv,,,,,,Low-subsonic,valid,True,0.128205139083,-0.171949265679,-0.105984960338,-0.00337151998432,0.00791313326535,-0.0056975966207,0.00199830806217,-0.00323642116814,-0.00325066885575,-0.00216115868577,0.000442964306748,0.000592498145937,-0.00127656967546,-0.000449552217775,-5.97934374743e-05,0.000985918680841,0.000450763008126,0.000225698994401,0.000155147862737
naca5611,original_dataset,data/d_PV_20_coord/naca5611.csv,,,,,,Low-subsonic,valid,True,0.0719076717681,-0.147346565895,-0.102923592524,-0.00440874295653,0.00879876192068,-0.00532427199622,0.00166926949961,-0.00349230287839,-0.0032095859137,-0.00215572625148,0.000380557556148,0.000570857282174,-0.00125895090665,-0.000426141850424,-7.41863955354e-05,0.00098604058413,0.000448085301167,0.000226472807583,0.000154058440423
naca5612,original_dataset,data/d_PV_20_coord/naca5612.csv,,,,,,Low-subsonic,valid,True,0.0156102044535,-0.122743866112,-0.0998622247103,-0.00544596592874,0.00968439057601,-0.00495094737174,0.00134023093706,-0.00374818458864,-0.00316850297165,-0.00215029381719,0.000318150805547,0.00054921641841,-0.00124133213784,-0.000402731483073,-8.85793535965e-05,0.000986162487418,0.000445407594208,0.000227246620766,0.000152969018108
naca5613,original_dataset,data/d_PV_20_coord/naca5613.csv,,,,,,Low-subsonic,valid,True,-0.040687262861,-0.0981411663279,-0.0968008568965,-0.00648318890094,0.0105700192313,-0.00457762274727,0.0010111923745,-0.00400406629889,-0.00312742002959,-0.0021448613829,0.000255744054947,0.000527575554647,-0.00122371336903,-0.000379321115721,-0.000102972311658,0.000986284390707,0.000442729887249,0.000228020433949,0.000151879595793
naca5614,original_dataset,data/d_PV_20_coord/naca5614.csv,,,,,,Low-subsonic,valid,True,-0.0969847301755,-0.0735384665442,-0.0937394890828,-0.00752041187315,0.0114556478867,-0.00420429812279,0.000682153811944,-0.00425994800915,-0.00308633708754,-0.0021394289486,0.000193337304346,0.000505934690885,-0.00120609460022,-0.00035591074837,-0.000117365269719,0.000986406293996,0.000440052180289,0.000228794247131,0.000150790173478
naca5615,original_dataset,data/d_PV_20_coord/naca5615.csv,,,,,,Low-subsonic,valid,True,-0.15328219749,-0.0489357667605,-0.090678121269,-0.00855763484536,0.012341276542,-0.00383097349831,0.000353115249388,-0.0045158297194,-0.00304525414549,-0.00213399651431,0.000130930553746,0.000484293827122,-0.00118847583141,-0.000332500381019,-0.00013175822778,0.000986528197285,0.00043737447333,0.000229568060314,0.000149700751163
naca5616,original_dataset,data/d_PV_20_coord/naca5616.csv,,,,,,Low-subsonic,valid,True,-0.209579664805,-0.0243330669767,-0.0876167534552,-0.00959485781757,0.0132269051973,-0.00345764887383,2.40766868319e-05,-0.00477171142965,-0.00300417120343,-0.00212856408002,6.85238031453e-05,0.000462652963358,-0.0011708570626,-0.000309090013667,-0.000146151185841,0.000986650100574,0.000434696766371,0.000230341873496,0.000148611328848
naca5617,original_dataset,data/d_PV_20_coord/naca5617.csv,,,,,,Low-subsonic,valid,True,-0.265877132119,0.000269632807027,-0.0845553856414,-0.0106320807898,0.0141125338527,-0.00308432424935,-0.000304961875724,-0.0050275931399,-0.00296308826138,-0.00212313164573,6.11705254485e-06,0.000441012099596,-0.00115323829379,-0.000285679646316,-0.000160544143902,0.000986772003862,0.000432019059412,0.000231115686679,0.000147521906534
naca5618,original_dataset,data/d_PV_20_coord/naca5618.csv,,,,,,Low-subsonic,valid,True,-0.322174599434,0.0248723325908,-0.0814940178276,-0.011669303762,0.014998162508,-0.00271099962487,-0.00063400043828,-0.00528347485016,-0.00292200531933,-0.00211769921144,-5.62896980556e-05,0.000419371235832,-0.00113561952498,-0.000262269278964,-0.000174937101963,0.000986893907151,0.000429341352453,0.000231889499861,0.000146432484219
naca5619,original_dataset,data/d_PV_20_coord/naca5619.csv,,,,,,,ignored,True,-0.378472066748,0.0494750323745,-0.0784326500138,-0.0127065267342,0.0158837911633,-0.0023376750004,-0.000963039000836,-0.00553935656041,-0.00288092237727,-0.00211226677715,-0.000118696448656,0.000397730372069,-0.00111800075617,-0.000238858911613,-0.000189330060024,0.000987015810439,0.000426663645494,0.000232663313043,0.000145343061904
naca5620,original_dataset,data/d_PV_20_coord/naca5620.csv,,,,,,,ignored,True,-0.434769534063,0.0740777321583,-0.0753712822,-0.0137437497064,0.0167694198186,-0.00196435037592,-0.00129207756339,-0.00579523827066,-0.00283983943522,-0.00210683434286,-0.000181103199256,0.000376089508306,-0.00110038198736,-0.000215448544262,-0.000203723018085,0.000987137713728,0.000423985938535,0.000233437126226,0.000144253639589
naca5621,original_dataset,data/d_PV_20_coord/naca5621.csv,,,,,,Low-subsonic,valid,True,-0.491067001377,0.098680431942,-0.0723099143862,-0.0147809726786,0.017655048474,-0.00159102575144,-0.00162111612595,-0.00605111998091,-0.00279875649316,-0.00210140190857,-0.000243509949857,0.000354448644543,-0.00108276321855,-0.00019203817691,-0.000218115976146,0.000987259617017,0.000421308231576,0.000234210939408,0.000143164217274
naca5622,original_dataset,data/d_PV_20_coord/naca5622.csv,,,,,,Low-subsonic,valid,True,-0.547364468692,0.123283131726,-0.0692485465724,-0.0158181956508,0.0185406771293,-0.00121770112696,-0.0019501546885,-0.00630700169117,-0.00275767355111,-0.00209596947428,-0.000305916700457,0.00033280778078,-0.00106514444974,-0.000168627809559,-0.000232508934207,0.000987381520306,0.000418630524617,0.000234984752591,0.000142074794959
naca5623,original_dataset,data/d_PV_20_coord/naca5623.csv,,,,,,Low-subsonic,valid,True,-0.603661936006,0.147885831509,-0.0661871787586,-0.016855418623,0.0194263057846,-0.000844376502484,-0.00227919325106,-0.00656288340142,-0.00271659060906,-0.00209053703998,-0.000368323451058,0.000311166917017,-0.00104752568093,-0.000145217442208,-0.000246901892268,0.000987503423595,0.000415952817658,0.000235758565773,0.000140985372645
naca5624,original_dataset,data/d_PV_20_coord/naca5624.csv,,,,,,Low-subsonic,valid,True,-0.659959403321,0.172488531293,-0.0631258109448,-0.0178926415952,0.02031193444,-0.000471051878005,-0.00260823181362,-0.00681876511167,-0.002675507667,-0.00208510460569,-0.000430730201658,0.000289526053254,-0.00102990691211,-0.000121807074856,-0.000261294850329,0.000987625326883,0.000413275110699,0.000236532378956,0.00013989595033
naca5706,original_dataset,data/d_PV_20_coord/naca5706.csv,,,,,,Transonic,valid,True,0.357587826226,-0.254403870696,-0.164558384598,-0.00273024651281,-0.00520465442177,0.0165802090181,0.00501394642601,0.00797143152527,0.000319104173921,0.000650754781952,0.000815384328408,0.000966658646344,0.0019050918954,0.000197874405349,0.000373994217272,-0.000680492291477,-0.00050544078896,-0.000195646809613,-7.24754468716e-05
naca5707,original_dataset,data/d_PV_20_coord/naca5707.csv,,,,,,Transonic,valid,True,0.301252046078,-0.229785975051,-0.161492636978,-0.00381577829496,-0.00429337290877,0.0169655678943,0.0046586259035,0.0077097461124,0.000384717055857,0.000645990384287,0.000781135532338,0.000949013765796,0.00191688270306,0.000245471913358,0.000360449870098,-0.000674192123429,-0.000513747297917,-0.000199863338958,-6.62374089249e-05
