name,ignored_reason,Ma_1.5_Cd,Ma_1.5_Cl
naca8522,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8523,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8524,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8618,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8619,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8620,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8621,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8622,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8623,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8624,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8715,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8716,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8717,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8718,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8719,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8720,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8721,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8722,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca8723,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9421,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9422,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9423,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9424,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9519,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9520,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9521,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9522,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9523,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9524,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9615,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9616,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9617,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9618,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9619,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9620,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9621,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9622,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9623,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9624,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9713,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9714,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9715,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9716,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9717,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9718,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9719,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9720,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
naca9721,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
saratov,placeholder_Ma_1.5_Cd_0.1_Cl_0.12,0.1,0.12
